user_id,journey_id,finish_time
1896,25,2023-06-08 10:03:58.160816
1896,86,2023-05-27 18:08:05.104243
1896,158,2023-05-27 17:21:47.814510
1896,380,2023-06-08 09:33:43.648811
1896,599,2023-05-27 18:39:37.955878
1896,813,2023-05-27 17:44:10.611541
1896,830,2023-06-08 10:14:16.112836
1896,831,2023-06-08 10:18:52.375481
1896,864,2023-05-27 17:45:13.443344
1896,871,2023-06-19 22:31:43.530021
1902,790,2023-03-14 07:35:26.110911
3357,11,2017-01-09 15:09:26.173985
5485,86,2023-04-06 12:05:00.563036
6957,25,2023-06-08 01:23:13.395957
6957,86,2023-06-08 00:26:38.472364
6957,158,2023-06-06 00:58:52.561185
6957,696,2023-06-08 01:00:59.799453
6957,868,2023-06-06 01:17:51.814361
10909,11,2023-04-12 02:56:44.169696
10909,25,2023-08-25 15:26:02.434092
10909,124,2021-06-19 00:26:36.695290
10909,158,2023-08-25 15:13:47.221730
10909,380,2023-08-25 15:27:00.604477
10909,720,2022-08-22 00:26:32.657136
10909,897,2023-08-25 14:57:49.900382
10940,86,2023-03-19 18:20:47.643434
13614,11,2023-04-10 19:29:26.115148
13614,14,2017-12-11 23:00:59.670436
13614,25,2018-05-16 00:49:23.005600
13614,35,2018-05-16 01:14:02.512684
13614,37,2017-12-02 02:17:23.982130
13614,40,2017-10-28 01:25:47.814215
13614,67,2017-10-28 01:36:47.528289
13614,86,2023-04-10 19:29:26.306014
13614,87,2017-10-28 01:22:44.723454
13614,158,2023-06-01 01:32:23.314777
13614,380,2023-08-22 02:36:43.883137
13614,696,2023-08-17 17:43:01.004948
13614,872,2023-08-17 17:42:50.129557
13748,5,2017-12-28 16:45:31.429396
13748,11,2017-05-05 18:07:37.538395
13748,13,2020-11-26 15:49:22.209064
13748,15,2018-03-24 17:11:02.607941
13748,19,2023-01-26 18:40:20.297523
13748,20,2023-02-01 17:35:18.624234
13748,21,2023-02-01 17:35:25.627031
13748,22,2023-02-01 17:35:25.873533
13748,23,2020-11-24 15:39:17.519236
13748,24,2018-03-24 18:44:43.182350
13748,25,2017-12-28 17:38:27.566881
13748,26,2023-02-01 17:43:11.498058
13748,28,2017-12-28 14:43:23.329538
13748,29,2023-01-26 18:39:58.883321
13748,30,2023-01-26 18:40:00.862156
13748,31,2020-09-03 16:56:45.739477
13748,32,2023-01-26 18:40:01.942004
13748,35,2018-08-15 18:29:35.215809
13748,37,2023-01-26 18:40:21.865732
13748,38,2023-02-01 17:35:27.197979
13748,50,2020-09-03 17:14:14.230725
13748,51,2023-01-26 18:40:22.844738
13748,52,2023-01-26 18:40:28.225105
13748,53,2023-01-26 18:40:29.709415
13748,54,2023-01-26 18:40:36.271266
13748,55,2017-12-28 16:14:10.061211
13748,56,2020-09-03 17:20:50.357534
13748,57,2017-12-28 16:21:49.474003
13748,58,2018-07-09 18:10:27.513217
13748,59,2018-07-09 18:16:52.430120
13748,60,2018-07-09 18:04:04.656315
13748,63,2020-11-26 15:45:24.508218
13748,64,2023-02-01 17:39:04.138248
13748,65,2023-02-01 17:43:16.537662
13748,66,2023-02-01 17:43:18.429984
13748,67,2023-02-01 17:44:53.806937
13748,69,2023-02-01 17:44:56.052450
13748,70,2023-02-01 17:44:57.306645
13748,72,2017-05-05 18:32:27.938724
13748,73,2017-05-05 18:14:23.535457
13748,78,2023-01-26 18:40:38.804342
13748,81,2023-01-26 18:40:39.009510
13748,82,2023-01-26 18:40:39.398653
13748,83,2018-03-24 17:25:24.297485
13748,85,2023-02-01 17:39:05.937563
